"ADRESA","ADRESARAW","LOCALITATE","NUME"
"2strada cuza vodă, bl. 14, ap. 2","2STR. CUZA VODĂ, BL. 14, AP. 2","TARGU FRUMOS","CRUCIANU REMUS DORINEL"
"cuza voda, bl.14","Cuza Voda, Bl.14","TARGU FRUMOS","CRUCIANU REMUS DORINEL"
"strada pavel roşca, nr. 5, jud. cluj","STR. PAVEL ROŞCA, NR. 5, JUD. CLUJ","CLUJ-NAPOCA","CSALAI DIANA"
"strada alecu russo, nr.4","STR. ALECU RUSSO, Nr.4","BRASOV","CSORIK ECATERINA"
"c.negri, nr.6, bl.d3, parter","C.Negri, Nr.6, Bl.D3, PARTER","IASI","CUBASA CARMEN"
"incinta primăriei","INCINTA PRIMĂRIEI","VEREŞTI","CUCIUREANU ALEXANDRU-CLAUDIU"
"strada mihail kogălniceanu, bl. 20, sc. c","str. Mihail Kogălniceanu, bl. 20, sc. C","Beclean","CULCER CRINU-DENIS"
"strada republicii nr. 2","STR. REPUBLICII NR. 2","SIRET","CURCĂ GABRIELA-IULIANA"
"strada mihai eminescu, nr. 10, sc. a, et. 1","STR. MIHAI EMINESCU, NR. 10, SC. A, ET. 1","SUCEAVA","CURCĂ MIHAI"
"p-ţa unirii, nr. 2, bl. z31, parter","P-ŢA UNIRII, NR. 2, BL. Z31, PARTER","ALEŞD","CUREA LUP CĂLIN"
"strada 1 decembrie 1918, nr.4","STR. 1 DECEMBRIE 1918, Nr.4","ALEŞD","CUREA LUP CONSTANTIN ROMULUS"
"strada 1 decembrie nr. 2","STR. 1 DECEMBRIE NR. 2","ALEŞD","CUREA-LUP ANDREI-EMILIAN"
"strada timotei cipariu, bl. t10, parter","STR. TIMOTEI CIPARIU, BL. T10, PARTER","BLAJ","DAISA DIANA"
"strada horea, nr.3, bl.3, sc.3, ap.33, cod poştal332014","STR. HOREA, NR.3, BL.3, SC.3, AP.33, COD POŞTAL332014","PETROSANI","DAJ RODICA"
"strada sebastian, nr.19, bl.s11, sc.1, et. 1, ap.3, sectorul 5","STR.Sebastian, Nr.19, Bl.S11, Sc.1, ET. 1, Ap.3, Sectorul 5","BUCURESTI","DAN CRISTINA MIHAELA"
"strada 1 mai nr. 6, et. 1","STR. 1 MAI NR. 6, ET. 1","PLOIEŞTI","DAN FLORINA"
" strada zefirului, bl.cs3, sc.b, ap.1"," STR. ZEFIRULUI, Bl.CS3, Sc.B, Ap.1","URZICENI","DAN LAURENTIU"
"bulevardul basarabiei, nr.192-198, bl.a, sc.d, parter, ap.124, sectorul 2","B-DUL BASARABIEI, Nr.192-198, Bl.A, Sc.D, PARTER, Ap.124, Sectorul 2","BUCURESTI","DAN SIMONA CRISTINA"
"strada bolyai nr. 1/c, ap. 16","STR. BOLYAI NR. 1/C, AP. 16","TÂRGU MUREŞ","DAN VALENTIN-SIMION"
"strada someşului, nr. 2","STR. SOMEŞULUI, NR. 2","SIBIU","DAN VALERICA"
"strada brăilei, nr. 8a","STR. BRĂILEI, NR. 8A","TÂRGU MUREŞ","DANCI-BAZIOTIS CRISTINA-MIHAELA"
"piaţa unirii nr. 5, jud. mureş","PIAŢA UNIRII NR. 5, JUD. MUREŞ"," TÂRGU MUREŞ","DANCIU ALINA"
"piaţa unirii nr. 5, jud. mureş","PIAŢA UNIRII NR. 5, JUD. MUREŞ","TÂRGU MUREŞ","DANCIU ALINA"
"strada republicii, bl.212, sc.b, ap. 3","STR. REPUBLICII, BL.212, SC.B, AP. 3","PITEŞTI","DANCIU ILIE"
"drumul taberei, nr.35a, bl. 803, sc. 2, ap.43-44, parter, sectorul 6","DRUMUL TABEREI, Nr.35A, BL. 803, SC. 2, AP.43-44, PARTER, Sectorul 6","BUCURESTI","DANIILESCU IRINA"
"strada dobrogeanu gherea, bl. 4, sc. b, parter, ap. 16","STR. DOBROGEANU GHEREA, BL. 4, SC. b, PARTER, AP. 16","ROMAN","DASCĂLU OANA"
"clădirea c1","CLĂDIREA C1","POPEŞTI","DASCĂLU-ŞTEFURAC ALEXANDRA"
"strada dr. felix, nr. 14, et.2, ap. 51, sector 1","STR. DR. FELIX, NR. 14, ET.2, AP. 51, SECTOR 1","BUCURESTI","DAVID CĂTĂLINA"
"calistrada at hogaş, bl.b13, sc.b, ap.23, parter","CALISTRAT HOGAŞ, Bl.B13, Sc.B, Ap.23, PARTER","TÂRGU NEAMT","DAVID DANIELA"
"strada horia nr. 4, ap. 2a","STR. HORIA NR. 4, AP. 2A","ARAD","DAVID DANIELA"
"strada gheorghe doja, nr. 74, jud. prahova","STR. GHEORGHE DOJA, NR. 74, JUD. PRAHOVA","PLOIEŞTI","DAVID ELLA"
"strada calistrat hogaş, bl. 13, sc. b, ap. 23, parter","STR. CALISTRAT HOGAŞ, BL. 13, SC. B, AP. 23, PARTER","PIATRA NEAMŢ","DAVID RADU-CONSTANTIN"
"bulevardul ion mihalache, nr.227, sectorul 1","B-DUL ION MIHALACHE, Nr.227, Sectorul 1","BUCURESTI","DĂNĂCICĂ MIHAELA DANIELA"
"calea sever bocu nr. 28","CALEA SEVER BOCU NR. 28","TIMISOARA","DĂNILĂ EUSEBIU-OCTAV"
"bulevardul carol, nr.55- 55 bis, et. 1, sectorul 2","B-dul Carol, Nr.55- 55 BIS, ET. 1, Sectorul 2","BUCURESTI","de HERBAY RALUCA"
"strada unirii, bl. 18, parter ","STR. UNIRII, BL. 18, PARTER ","TÂRGU JIU","DEACONU CLAUDIA-GEORGIANA"
"nicolae titulescu, bl.20, sc.2, ap.2","NICOLAE TITULESCU, Bl.20, Sc.2, Ap.2","CRAIOVA","DEFTA EMIL"
"strada vasile alecsandri nr. 1, ap. 2","STR. VASILE ALECSANDRI NR. 1, AP. 2","ORADEA","DEHELEAN CORNEL"
"strada vasile alecsandri nr. 1, ap. 2","STR. VASILE ALECSANDRI NR. 1, AP. 2","ORADEA","DEHELEAN SILVIU"
"bulevardul pache protopopescu nr. 31, ap. 1, sector 2","B-DUL PACHE PROTOPOPESCU NR. 31, AP. 1, SECTOR 2","BUCUREŞTI","DIACONESCU ADINA"
"soseaua snagov, nr. 40","ŞOS. SNAGOV, NR. 40","GHERMĂNEŞTI, COM. SNAGOV","DIACONESCU DUMITRU"
"strada tineretului, nr. 17, bl. 148b, sc. 1, ap. 1","STR. TINERETULUI, NR. 17, BL. 148B, SC. 1, AP. 1","CRAIOVA","DIACONU CRISTIAN"
"strada m. eminescu nr. 251 b, jud. caraş-severin","STR. M. EMINESCU NR. 251 B, JUD. CARAŞ-SEVERIN","BOZOVICI","DIACONU TUDOR-DANIEL"
"strada i. c. brătianu, bl. 30,sc.b, ap. 2-3, parter","STR. I. C. BRĂTIANU, BL. 30,SC.B, AP. 2-3, PARTER","PITEŞTI","DIDEA IONEL"
"bulevardul mareşal averescu, nr.5, bl. 3, sc.b, ap. 4, sector 1","B-DUL MAREŞAL AVERESCU, NR.5, BL. 3, SC.B, AP. 4, SECTOR 1","BUCURESTI","DIMA CARMEN"
"strada armatei române nr. 6","STR. ARMATEI ROMÂNE NR. 6","ORADEA","DIMITRIU GEORGEL IRINEL"
"strada mihail kogălniceanu nr. 19, bl 97, sc. e, ap. 1, jud. dolj","STR. MIHAIL KOGĂLNICEANU NR. 19, BL 97, SC. E, AP. 1, JUD. DOLJ","CRAIOVA","DINCĂ ADRIANA"
"strada unirii, bl.12, parter, jud. dâmboviţa","STR. UNIRII, BL.12, PARTER, JUD. DÂMBOVIŢA","GAEŞTI","DINCĂ GEORGETA"
"strada bucureşti, bl.182-1b, sc.1, ap.1","STR. Bucureşti, Bl.182-1B, Sc.1, Ap.1","TĂNDĂREI","DINCĂ MIRELA LUMINIŢA"
"piaţa cetăţii nr. 44","PIAŢA CETĂŢII NR. 44","CIACOVA","DINESCU  RADU "
"strada dunării, nr. 129-133, bl. f2, sc. c, parter, ap. 36","STR. DUNĂRII, NR. 129-133, BL. F2, SC. C, PARTER, AP. 36","ALEXANDRIA","DINESCU MIHAI"
"strada marcu mihaela ruxandra, nr. 2, bl. b4, sc. 2, parter, ap. 24, sector 6","STR. MARCU MIHAELA RUXANDRA, NR. 2, BL. B4, SC. 2, PARTER, AP. 24, SECTOR 6","BUCUREŞTI","DINU CAMELIA"
"sat tăriceni nr. 160","SAT TĂRICENI NR. 160","ŞIRNA","DINU VLAD-ALEXANDRU"
"piaţa centrală, nr. 38, jud. -năsăud","PIAŢA CENTRALĂ, NR. 38, JUD. BISTRIŢA-NĂSĂUD","BISTRIŢA","DIŢIU IULIAN-ANDREI"
"piaţa centrală, nr. 580, jud. bistrada iţa-năsăud","PIAŢA CENTRALĂ, NR. 580, JUD. BISTRIŢA-NĂSĂUD","TEACA","DIŢIU MARIA"
"bulevardul dimitrie cantemir nr. 13, bl. 11, sc. 1, et. 1, ap. 2, sector 4","B-DUL DIMITRIE CANTEMIR NR. 13, BL. 11, SC. 1, ET. 1, AP. 2, SECTOR 4","BUCURESTI","DIŢU RODICA-LUCIANA"
"strada republicii, bl. 32, parter","STR. REPUBLICII, BL. 32, PARTER","FĂLTICENI","DÎMBU BOGDAN-DUMITRU"
"retezatului nr.8","RETEZATULUI Nr.8","TÎRGU MUREŞ","DOBÎRTĂ DANIELA-LUMINIŢA"
"soseaua pantelimon, nr.86, bl.409a, ap.5, sectorul 2","SOS.PANTELIMON, Nr.86, Bl.409A, Ap.5, Sectorul 2","BUCURESTI","DOBRE DANA"
"i.l.caragiale, nr.4-5","I.L.CARAGIALE, Nr.4-5","RESITA","DOBRE FLORICA"
"calea victoriei, nr.1-5, sc.b, ap.43, sectorul 3","CALEA VICTORIEI, Nr.1-5, Sc.B, Ap.43, Sectorul 3","BUCURESTI","DOBRE FLORINA"
"strada kossuth lajos nr. 1, ap. 1","STR. KOSSUTH LAJOS NR. 1, AP. 1","GHEORGHENI","DOBREAN TEODOR-CONSTANTIN"
"soseaua bucuresti târgoviste, nr.39, bl.r8, sc.a, ap.1, parter","SOS.BUCURESTI TÂRGOVISTE, NR.39, BL.R8, Sc.A, AP.1, PARTER","BUFTEA","DOBRICAN GHEORGHE"
"strada jina nr.14, cod poştal 550058","STR. JINA NR.14, COD POŞTAL 550058","SIBIU","DODENCIU RODICA-EUGENIA"
"strada liviu rebreanu nr. 29","STR. LIVIU REBREANU NR. 29","BISTRIŢA","DOGARU CĂTĂLIN-LIVIU"
"strada tudor vladimirescu, nr. 3a","STR. TUDOR VLADIMIRESCU, NR. 3A","PANTELIMON","DOMOKOS ADRIANA"
"strada corneliu coposu, nr. 2, et. 1, ap. 9, jud. ","STR. CORNELIU COPOSU, NR. 2, ET. 1, AP. 9, JUD. SATU MARE","SATU MARE","DONCA ANEMONA"
"strada corneliu coposu, nr. 2, et.1, ap. 9","STR. CORNELIU COPOSU, NR. 2, ET.1, AP. 9","SATU-MARE","DONCA RODICA"
"bulevardul unirii, nr.70, bl.j4, sc.3, ap.54, sectorul 3","B-DUL UNIRII, Nr.70, Bl.J4, Sc.3, Ap.54, Sectorul 3","BUCURESTI","DONOSE VALERIA"
"bulevardul 21 decembrie 1989 nr. 93, ap. 46, parter","B-DUL 21 DECEMBRIE 1989 NR. 93, AP. 46, PARTER","CLUJ-NAPOCA","DORCA PATRICIA-GILDA"
"strada regele ferdinand, nr. 5, jud. cluj","STR. REGELE FERDINAND, NR. 5, JUD. CLUJ","ŞIMLEUL SILVANIEI","DOROBANŢU SIMONA-IUSTINA"
"strada proclamaţia de la , nr. 7","STR. PROCLAMAŢIA DE LA TIMIŞOARA, NR. 7","TIMIŞOARA","DOROŞ ADELA ANA"
"nicolae balcescu, bl.b1 vechi, sc.1, ap.1","Nicolae Balcescu, Bl.B1 vechi, Sc.1, Ap.1","FILIASI","DRAGHICI FLOREA"
"sediul primăriei","SEDIUL PRIMĂRIEI","NANOV","DRAGHICI NICOLETA"
"bulevardul unirii, nr. 63, bl. f4, sc. 3, et. 2, ap.55, sector 3","B-DUL UNIRII, NR. 63, BL. F4, SC. 3, ET. 2, AP.55, SECTOR 3","BUCUREŞTI","DRAGNEA ANA-MARIA"
"strada stroe belloescu nr. 1, bl. m1-4, sc. b, parter, ap. 20","STR. STROE BELLOESCU nr. 1, bl. m1-4, sc. b, parter, ap. 20","BÎRLAD","DRAGOMIR IOANA"
"strada piaţa revoluţiei nr. 4","STR. PIAŢA REVOLUŢIEI NR. 4","BACĂU","DRAGOMIR MONA-LACRAMIOARA"
"strada zaharia boiu nr. 17, ap. 3","STR. ZAHARIA BOIU NR. 17, AP. 3","SIBIU","DRAGOMIR NICOLAE"
"bulevardul nicolae bălcescu nr. 35a, et. 1, ap. 2, sector 1","B-DUL NICOLAE BĂLCESCU NR. 35A, ET. 1, AP. 2, SECTOR 1","BUCURESTI","DRAGOMIR ROMELIA MARINA"
"strada 1 mai, nr.1","STR. 1 MAI, NR.1","BAIA-MARE","DRAGOŞ BOGDANA-MARIA"
"strada 1 mai, nr. 1, jud. maramureş","STR. 1 MAI, NR. 1, JUD. MARAMUREŞ","BAIA MARE","DRAGOŞ IOANA"
"bulevardul decebal nr. 19, bl. c86, parter","B-DUL DECEBAL  NR. 19, BL. C86, PARTER","ORADEA","DRAGOTĂ ADINA-MIHAELA"
"pache protopopescu, nr.31, ap.1, sectorul 2","Pache Protopopescu, Nr.31, Ap.1, Sectorul 2","BUCURESTI","DRĂGAN LIDIA OLGA"
"bulevardul independenţei, bl. 7, parter","B-DUL INDEPENDENŢEI, BL. 7, PARTER","TÂRGOVIŞTE","DRĂGAN NINA"
"iancu-jianu, nr.1","IANCU-JIANU, Nr.1","CRAIOVA","DRĂGANCEA OFELIA"
"n.balcescu, nr.9, jud. ","N.BALCESCU, Nr.9, JUD. SIBIU","SIBIU","DRĂGHICI ELENA"
"sat brătuleşti","SAT BRĂTULEŞTI","PERIS","DRĂGHICI IULIAN LIVIU"
"strada g.enescu, nr.3","STR. G.ENESCU, Nr.3","ORADEA","DRĂGOIU ILIE"
"bulevardul ion i.c. brătianu, nr. 10-12","BLD. ION I.C. BRĂTIANU, NR. 10-12","GIURGIU","DRĂGULIN STELUŢA-NICOLETA"
"strada nicolae bălcescu nr. 16","STR. NICOLAE BĂLCESCU NR. 16","CRAIOVA","DRĂGUŞIN DĂNUŢ FLORIN"
"strada verii nr.4","STR. VERII Nr.4","BRASOV","DRĂGUŞIN EMIL"
"bulevardul octavian goga, nr. 106,bl. m26,sc2,et.3, ap. 31, sector 3","B-DUL OCTAVIAN GOGA, NR. 106,BL. M26,SC2,ET.3, AP. 31, SECTOR 3","BUCUREŞTI","DRĂGUŢ RELI"
"strada parcul traian, nr.7","STR. PARCUL TRAIAN, Nr.7","ORADEA","DRĂJAN TEODOR"
"strada 1 decembrie 1918, nr. 2, bl. 3, sc. a, ap. 1","STR. 1 DECEMBRIE 1918, NR. 2, BL. 3, SC. A, AP. 1","COVASNA","DRILEA MIRELA-NICOLETA"
"cuza vodă, nr.37","CUZA VODĂ, Nr.37","FOCSANI","DRUGĂ GHEORGHE"
"george cosbuc, nr.3","George Cosbuc, Nr.3","TURDA","DRUIA MIHAELA"
"strada gheorghe doja nr. 2, bl. l2, parter","STR. GHEORGHE DOJA NR. 2, BL. L2, PARTER","HÂRLĂU","DUCA ANDREEA-DIANA"
"strada republicii, nr. 631, jud. braşov","STR. REPUBLICII, NR. 631, JUD. BRAŞOV","SÂNPETRU","DUDIŢĂ ELENA-FLAVIA"
"negru vodă, nr.117, sc.b","NEGRU VODĂ, Nr.117, Sc.B","CURTEA DE ARGES","DUINEA DUMITRU"
"strada negru vodă, nr. 117, sc.b","STR. NEGRU VODĂ, NR. 117, SC.B","CURTEA DE ARGEŞ","DUINEA FLORIAN"
"strada negru vodă, nr. 117, sc.d","STR. NEGRU VODĂ, NR. 117, SC.D","CURTEA DE ARGEŞ","DUINEA RAMONA"
"bulevardul tomis, nr. 217, bl. ts10p, sc. c, ap. 43, parter","B-DUL TOMIS, NR. 217, BL. TS10P, SC. C, AP. 43, PARTER","CONSTANTA","DUMITRA CRISTIAN-GABRIEL"
"strada mihai viteazu, nr. 43a","STR. MIHAI VITEAZU, NR. 43A","CONSTANTA","DUMITRA JEAN"
"incinta căminului cultural","INCINTA CĂMINULUI CULTURAL","MOVILIŢA","DUMITRACHE GABRIELA"
"strada libertăţii, bl. 11, ap. 3, parter","STR. LIBERTĂŢII, BL. 11, AP. 3, PARTER","POGOANELE","DUMITRACHE GHEORGHE"
"bulevardul nicolae titulescu nr. 10, bl. 20, sc. c, et. 3, ap. 134, sector 1","B-DUL NICOLAE TITULESCU NR. 10, BL. 20, SC. C, ET. 3, AP. 134, SECTOR 1","BUCUREŞTI","DUMITRACHE VALERICA"
"strada constantin rădulescu motru, nr. 16, bl. 21, sc,c, et1, ap. 90, sector 4","STR. CONSTANTIN RĂDULESCU MOTRU, NR. 16, BL. 21, SC,C, ET1, AP. 90, SECTOR 4","BUCUREŞTI","DUMITRAŞCU ANDREEA"
"nicolae titulescu, nr.115-117, bl.6, sc.1, ap.4, sectorul 1","NICOLAE TITULESCU, Nr.115-117, Bl.6, Sc.1, Ap.4, Sectorul 1","BUCURESTI","DUMITRESCU CRISTIAN SORIN"
"strada scolii, nr.13","STR. SCOLII, Nr.13","CIOROGÂRLA","DUMITRESCU FLORENTINA"
"strada mendeleev nr. 41, parter, sector 1","STR. MENDELEEV NR. 41, PARTER, SECTOR 1","Bucureşti","DUMITRESCU-BOLINTIN TUDOR-NICOLAE"
"strada lt. av. gheorghe stâlpeanu nr. 2, et. 1, ap. 6, sector 1","STR. LT. AV. GHEORGHE STÂLPEANU NR. 2, ET. 1, AP. 6, SECTOR 1","BUCURESTI","DUMITRIU CARMEN"
"bulevardul n.grigorescu, nr.45, bl.c1, sc.3, ap.21, sectorul 3","B-DUL N.GRIGORESCU, Nr.45, Bl.C1, Sc.3, Ap.21, Sectorul 3","BUCURESTI","DUMITRU MARIANA"
"strada mănăstirea humorului nr. 4","STR. MĂNĂSTIREA HUMORULUI NR. 4","GURA HUMORULUI","DUMITRU MIHAELA"
"strada portului, nr.14","STR. PORTULUI, Nr.14","GIURGIU","DURBAC ELENA"
"strada bucur,nr. 27, ap. 2, sector 4","STR.BUCUR,NR. 27, AP. 2, SECTOR 4","BUCUREŞTI","DURNESCU MIHAELA- GABRIELA"
"nr. 594/a","NR. 594/A","SÂNANDREI","DŽAKA MASSIMO"
"strada republicii, bl. c1, pp, parter,","STR. REPUBLICII, BL. C1, PP, PARTER,","VIDELE","EFRIM MIRELA"
"strada matei basarab nr. 96,bl. l22, sc.3, parter,ap. 42, sector 3","STR. MATEI BASARAB NR. 96,BL. L22, SC.3, PARTER,AP. 42, SECTOR 3","BUCUREŞTI","EFTIMESCU MIHAI MARIAN"
"bulevardul nicolae bălcescu nr. 25, bl. wilson, sc. d, et. 1, ap. 18, sector 1","B-DUL NICOLAE BĂLCESCU NR. 25, BL. WILSON, SC. D, ET. 1, AP. 18, SECTOR 1","BUCURESTI","ELIEAN ENISE"
"bulevardul regina elisabeta, nr. 44, sc.1, ap.1, parter, sector 5","B-DUL REGINA ELISABETA, NR. 44, SC.1, AP.1, PARTER, SECTOR 5","BUCUREŞTI","ENACHE AMALIA FLORINA"
"strada cupolei nr. 5b, scara 2, parter, ap. 112, 113, sector 6","STR. CUPOLEI NR. 5B, SCARA 2, PARTER, AP. 112, 113, SECTOR 6","BUCUREŞTI","ENACHE FLORENTINA"
"bulevardul independenţei, nr.17 bis, jud. dâmboviţa","B-DUL INDEPENDENŢEI, Nr.17 BIS, JUD. DÂMBOVIŢA","TÂRGOVIŞTE","ENACHE IULIA"
"strada republicii, bl. 34, tronson a1, parter","STR. REPUBLICII, BL. 34, TRONSON A1, PARTER","PETRILA","ENACHE MARILENA-DORINA"
"bulevardul uverturii, nr. 43, bl.1, sc. 5, parter, ap. 163, sector 6","B-DUL UVERTURII, NR. 43, BL.1, SC. 5, PARTER, AP. 163, SECTOR 6","BUCUREŞTI","ENACHE MARINA CECILIA"
"strada elena caragiani nr. 2-6, bl. 3b, sc. 3, ap. 31, parter, sector 1","STR. ELENA CARAGIANI NR. 2-6, BL. 3B, SC. 3, AP. 31, PARTER, SECTOR 1","BUCUREŞTI","ENACHE RALUCA-ANDREEA"
"mun. , strada trandafirilor, nr.20, jud. alba","MUN. ALBA IULIA, STR. TRANDAFIRILOR, Nr.20, JUD. ALBA","ALBA IULIA","ENĂCHESCU ADINA-RODICA"
"strada mărăşeşti nr. 11, et. 1","STR. MĂRĂŞEŞTI NR. 11, ET. 1","BACĂU","ENĂCHESCU OLGA LAURA"
"grigore alexandrescu, nr.39, sectorul 1","Grigore Alexandrescu, Nr.39, Sectorul 1","BUCURESTI","ENCIU GEORGETA"
"şoş. olteniţei nr. 58a, et. 1","ŞOŞ. OLTENIŢEI NR. 58A, ET. 1","POPEŞTI-LEORDENI","ENE DIANA-COSMINA"
"strada pacii, nr. 7, bl. p21, sc. c, ap. 28","STR. PACII, NR. 7, BL. P21, SC. C, AP. 28","TULCEA","ENE FROSINA"
"mihail săulescu, nr.8","MIHAIL SĂULESCU, Nr.8","PREDEAL","ENOAE RODICA"
"bulevardul corvin nr. 11, bl. cm1, ap. 4, parter, jud. ","B-DUL CORVIN NR. 11, BL. CM1, AP. 4, PARTER, JUD. HUNEDOARA","HUNEDOARA","FARCAŞ LADISLAU"
"bulevardul dacia, nr. 4, bl. e4, parter, ap. 30","Bld. Dacia, nr. 4, bl. E4, parter, ap. 30","Hunedoara","FARCAŞ LADISLAU-ADRIAN"
"strada zona gării bl. a2, sc. b, ap. 1","STR. ZONA GĂRII BL. A2, SC. B, AP. 1","ORAVIŢA","FAUR OANA-MARIA"
"strada progresului, nr.87-89, bl.b2, sc. b, ap. 1","STR. PROGRESULUI, NR.87-89, BL.B2, SC. B, AP. 1","VLADIMIRESCU","FĂRCUŢIU PETRU IOAN"
"teodor aman, bl.73, sc.4, ap.8","TEODOR AMAN, Bl.73, Sc.4, Ap.8","CRAIOVA","FĂURAR DOINA"
"strada 1 mai nr. 4, ap. 2","STR. 1 MAI NR. 4, AP. 2","INEU","FEIER DIANA-ALEXANDRA"
"1 mai nr. 4, ap. 2","1 MAI NR. 4, AP. 2","INEU","FEIER LIA"
"bethlen gabor, nr.8, jud. harghita","BETHLEN GABOR, Nr.8, JUD. HARGHITA","ODORHEIUL SECUIESC","FERENCZ IOSIF"
"strada tompa laszlo nr. 7","STR. TOMPA LASZLO NR. 7","ODORHEIU SECUIESC","FERENCZ-PÁLHEGYI ENIKÖ"
"strada muncii nr. 17, bl. c6, sc. 1ap. 1, parter","STR. MUNCII NR. 17, BL. C6, SC. 1AP. 1, PARTER","ROVINARI","FETICA ILONA-LAVINIA"
"strada tipografiei, nr. 13, ap. 5, jud. cluj","STR. TIPOGRAFIEI, NR. 13, AP. 5, JUD. CLUJ","CLUJ-NAPOCA","FEURDEAN CRISTIAN-OCTAVIAN"
"lunga, nr.131","Lunga, Nr.131","CODLEA","FICARD CĂTĂLINA NICOLETA"
"strada neptun, bl. l 3, sc. a, ap. 3","STR. NEPTUN, BL. L 3, SC. A, AP. 3","DĂRMĂNEŞTI","FIERARU ROMULUS-MIHAI"
"strada ion vidu nr. 2, ap. 1","STR. ION VIDU NR. 2, AP. 1","ARAD","FILDAN TEODOR"
"bl. b1, sc. a, ap. 2","BL. B1, SC. A, AP. 2","ŞOFRONEA","FILDAN TEODORA-IULIA"
"strada a.i. cuza, nr. 6, jud. dolj","STR. A.I. CUZA, NR. 6, JUD. DOLJ","BECHET","FILIP ADRIAN-MARIUS"
"strada 9 mai, nr. 52, sc. d, ap. 3","STR. 9 MAI, NR. 52, SC. D, AP. 3","BACĂU","FILIP ANA-MARIA-CRISTINA"
"strada n.bălcescu, bl. a3, parter","STR. N.BĂLCESCU, BL. A3, PARTER","BUZĂU","FILIP EUGENIA- RICA"
"com. pătârlagele,bl. d5, ap. 1, jud. buzău","COM. PĂTÂRLAGELE,BL. D5, AP. 1, JUD. BUZĂU","PATÂRLAGELE","FILIP NICOLAE"
"strada nicolae iorga nr. 18, bl. 11, sc. d, ap. 3","STR. NICOLAE IORGA NR. 18, BL. 11, SC. D, AP. 3","SFÂNTU GHEORGHE","FILIPANITS ALPAR"
"roşia montană, nr.3, bl.m20, sc.1, ap.7, sectorul 6","ROŞIA MONTANĂ, Nr.3, Bl.M20, Sc.1, Ap.7, Sectorul 6","BUCURESTI","FILIPESCU ELENA -GABRIELA"
"strada dacia nr. 1, bl.18, sc. a, parter, ap. 4","STR. DACIA NR. 1, BL.18, SC. A, PARTER, AP. 4","RÂMNICU VÂLCEA","FIRAN ALEXANDRU-FLORIN"
"strada calea lui traian, nr. 129, bl.l, parter","STR. CALEA LUI TRAIAN, NR. 129, BL.L, PARTER","RÂMNICU VÂLCEA","FIRAN RODICA"
"baia mere, strada george coşbuc, bl. 27, ap. 1 şi 2, jud. maramureş","BAIA MERE, STR. GEORGE COŞBUC, BL. 27, AP. 1 ŞI 2, JUD. MARAMUREŞ","BAIA MARE","FIRIZAN GEORGE-BOGDAN"
"strada george coşbuc, bl. 27, ap. 1 şi 2, jud. maramureş ","BAIA MARE, STR. GEORGE COŞBUC, BL. 27, AP. 1 ŞI 2, JUD. MARAMUREŞ ","BAIA MARE","FIRIZAN MARGARETA"
"republicii, nr.264, bl.k4, sc.b, ap.37","Republicii, Nr.264, Bl.K4, Sc.B, Ap.37","BARLAD","FÎNARU LULU"
"strada tineretului, bl. t1, parter","STR. TINERETULUI, BL. T1, PARTER","Roznov","FLOAREŞ ANCA"
"strada unirii nr.70,bl. a9,parter","STR. UNIRII NR.70,BL. A9,PARTER","SEGARCEA","FLOREA ANA-MARIA"
"republicii, nr.j 3, sc.1, ap.7","REPUBLICII, Nr.J 3, Sc.1, Ap.7","SEGARCEA","FLOREA GRIGORIE"
"strada baba novac,nr. 6, bl. 2, sc.d, parter, ap. 61, sctor 3","STR. BABA NOVAC,NR. 6, BL. 2, SC.D, PARTER, AP. 61, SCTOR 3","BUCURESTI","FLOREA IRENE EMANUELA"
"calea dudeşti, nr. 105, et. 1, ap. 2,sector 3","CALEA DUDEŞTI, NR. 105, ET. 1, AP. 2,SECTOR 3","BUCURESTI","FLOREA MARIA"
"calea văcăreşti, nr. 182, bl. 23, sc.a, parter,ap. 61, sector 3","CALEA VĂCĂREŞTI, NR. 182, BL. 23, SC.A, PARTER,AP. 61, SECTOR 3","BUCURESTI","FLOREA NECULAI"
" armoniei, nr.3, ap.71"," Armoniei, Nr.3, Ap.71","ONESTI","FLOREA TATIANA"
"20 decembrie 1989, nr. 14, ap. 2a","20 DECEMBRIE 1989, NR. 14, AP. 2A","LUGOJ","FLORESCU EVA"
"calea bucureşti, bl. m18, parter ","CALEA BUCUREŞTI, BL. M18, PARTER ","CRAIOVA","FLORICEL MIHAI -MARIAN"
"strada crişan, nr. 2-4, ap. 13","STR. CRIŞAN, NR. 2-4, AP. 13","ARAD","FLUERAŞ PETRU"
"dragos vodă, nr.8","DRAGOS VODĂ, Nr.8","GHERLA","FODOR GHEORGHE"
"strada ştefan cel mare nr. 3","STR. ŞTEFAN CEL MARE NR. 3","RĂDĂUŢI","FOMIN LARISA"
"strada volovăţului nr. 4 şi str. ştefan cel mare nr. 3","STR. VOLOVĂŢULUI NR. 4 ŞI STR. ŞTEFAN CEL MARE NR. 3","RĂDĂUŢI","FOMIN SIMION"
"bulevardul muncii, nr. 12, bl. e17, ap. 1","BLD. MUNCII, NR. 12, BL. E17, AP. 1","BRAŞOV","FRATEŞ MIRELA"
"bulevardul nicolae iorga, bl. b8, parter","B-DUL NICOLAE IORGA, BL. B8, PARTER","VĂLENII DE MUNTE","FRAŢIAN GEORGETA"
